"","x"
"955",714.155600397453
"956",713.429271004941
"957",703.597115986026
"958",699.527214073715
"959",703.91196153281
"960",699.85275870425
"961",700.349929368183
"962",698.369162129056
"963",695.706154029308
"964",696.492539130573
"965",698.545950394024
"966",699.903220329496
"967",698.053970226905
"968",696.237184465369
"969",690.056304124911
"970",692.663286260792
"971",692.525195778304
"972",698.671943748593
"973",696.723022310555
"974",687.82362016952
"975",685.115284647827
"976",681.96192390946
"977",683.793193114172
"978",683.47436064292
"979",687.759487542917
"980",680.837265894267
"981",689.83401999183
"982",691.816343063786
"983",685.842145928488
"984",691.102016416172
"985",691.910473529614
"986",706.138568506976
"987",705.313163353607
"988",702.526242401245
"989",704.446465057388
"990",719.443489236741
"991",723.929789423814
"992",731.97844543895
"993",735.93218123134
"994",742.933324045855
"995",746.726707945582
"996",756.898245370826
"997",761.444540780771
"998",764.513507675801
"999",769.062080799643
"1000",776.376649021007
"1001",778.057634896881
"1002",787.073911160424
"1003",785.425466349459
"1004",792.963115178497
"1005",791.458501839269
"1006",782.826024571419
"1007",792.250519724884
"1008",786.31488455543
"1009",798.977614746475
"1010",794.80926418085
"1011",802.538518617923
"1012",794.866020378413
"1013",796.0039146923
"1014",796.736845197071
"1015",834.897082781809
"1016",869.996960750938
"1017",865.284134948533
"1018",845.939930101045
"1019",843.427976263837
"1020",821.302893358037
"1021",715.334287718177
"1022",774.381473842978
"1023",839.962505199728
"1024",844.543429238204
"1025",844.434710247876
"1026",841.992547372377
"1027",828.79413686956
"1028",825.245875125404
"1029",828.218431923923
"1030",836.754042493596
"1031",832.673982798783
"1032",828.997372667625
"1033",829.981346679669
"1034",813.117428698753
"1035",814.405094408231
"1036",806.214412389288
"1037",799.645553763967
"1038",781.497537558732
"1039",750.29166923266
"1040",759.239250440803
"1041",762.994846807827
"1042",761.629113801723
"1043",760.061583194343
"1044",755.753321558476
"1045",752.677880906271
"1046",752.264579191105
"1047",750.185017195469
"1048",749.669147526964
"1049",740.893710204138
"1050",748.396529944668
"1051",745.363901260202
"1052",749.12994226401
"1053",750.892308334615
"1054",739.000558614693
"1055",743.23593826871
"1056",740.231379351524
"1057",735.342614676834
"1058",736.378245821887
"1059",744.341905304193
"1060",746.371318596241
"1061",743.025652410635
"1062",746.960227372605
"1063",741.908944312048
"1064",736.501408043073
"1065",725.577673774395
"1066",722.833713032905
"1067",726.604187095804
"1068",732.061416394009
"1069",747.698910436411
"1070",752.547275812883
"1071",745.516182084699
"1072",735.903200799491
"1073",734.786940544897
"1074",732.495794015348
"1075",731.703788094117
"1076",726.074870891981
"1077",708.938761153522
"1078",687.465832986896
"1079",706.828393419593
"1080",720.345182654269
"1081",722.847415970338
"1082",744.042413078339
"1083",754.360700235565
"1084",755.718901577649
"1085",757.354244207936
"1086",765.878757400172
"1087",760.025494573475
"1088",749.500414573802
"1089",738.672274938253
"1090",739.04019562024
"1091",744.490491194521
"1092",745.728605507416
"1093",746.92409125361
"1094",763.058859894942
"1095",781.208951558303
"1096",788.411526802976
"1097",751.421265297003
"1098",753.641901978926
"1099",761.26091607488
"1100",751.358680181562
"1101",750.601998091369
"1102",749.172005763714
"1103",761.050487537111
"1104",748.740569549359
"1105",757.625121300074
"1106",762.741969125642
"1107",744.5383995714
"1108",660.183034623474
"1109",661.837830155882
"1110",670.181514545228
